Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
cartilage,cartilage,,,,Cartilage,,,,,cartilage,,,,,connective tissue,1,0,538,synovial joint
sternum,sternum,Bone.sternum,,,,,,,,,,,,,musculoskeletal system,2,67,1618,bone
brain,brain,Brain,Brain,Brain,Brain_whole,,,,,,Brain,,,Wholebrain,nervous system,1,95,1750,brain
amygdala,amygdala,Brain.amygdala,,,,,,Brain_Amygdala,Brain - Amygdala,,,amygdala,amygdala,Amygdala,nervous system,2,112,1726,brain
radial artery,radial artery,,,,,,,,,,,,,,cardiovascular system,1,0,379,radial artery
red blood cells,red blood cells,,,,,,,,,,,,,,cardiovascular system,1,0,380,red blood cells
brainstem,brainstem,Brain.brain.stem,,,,,,,,,,,,,nervous system,2,96,1765,brain
renal vein,renal vein,,,,,,,,,,,,,,cardiovascular system,1,0,382,renal vein
retinal artery,retinal artery,,,,,,,,,,,,,,cardiovascular system,1,0,383,retinal artery
retinal vein,retinal vein,,,,,,,,,,,,,,cardiovascular system,1,0,384,retinal vein
right atrium auricular region,right atrium auricular region,,,,,,,,,,,,,,cardiovascular system,1,0,385,right atrium auricular region
right atrium valve,right atrium valve,,,,,,,,,,,,,,cardiovascular system,1,0,386,right atrium valve
right atrium venous valve,right atrium venous valve,,,,,,,,,,,,,,cardiovascular system,1,0,387,right atrium venous valve
right common carotid artery,right common carotid artery,,,,,,,,,,,,,,cardiovascular system,1,0,388,right common carotid artery
right coronary artery,right coronary artery,Bloodvessels.artery.coronary.artery.right,,,,,,,,,,,,,cardiovascular system,2,35,389,arterial blood vessel
right dorsal aorta,right dorsal aorta,,,,,,,,,,,,,,cardiovascular system,1,0,390,right dorsal aorta
right hepatico-cardiac vein,right hepatico-cardiac vein,,,,,,,,,,,,,,cardiovascular system,1,0,391,right hepatico-cardiac vein
right internal spermatic vein,right internal spermatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,392,right internal spermatic vein
right pulmonary artery,right pulmonary artery,,,,,,,,,,,,,,cardiovascular system,1,0,393,right pulmonary artery
right pulmonary vein,right pulmonary vein,,,,,,,,,,,,,,cardiovascular system,1,0,394,right pulmonary vein
right renal artery,right renal artery,,,,,,,,,,,,,,cardiovascular system,1,0,395,right renal artery
right renal vein,right renal vein,,,,,,,,,,,,,,cardiovascular system,1,0,396,right renal vein
right spermatic artery,right spermatic artery,,,,,,,,,,,,,,cardiovascular system,1,0,397,right spermatic artery
right spermatic vein,right spermatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,398,right spermatic vein
right subclavian artery,right subclavian artery,,,,,,,,,,,,,,cardiovascular system,1,0,399,right subclavian artery
right ventricle membranous part,right ventricle membranous part,,,,,,,,,,,,,,cardiovascular system,1,0,400,right ventricle membranous part
right ventricle muscular part,right ventricle muscular part,,,,,,,,,,,,,,cardiovascular system,1,0,401,right ventricle muscular part
rostral auricular vein,rostral auricular vein,,,,,,,,,,,,,,cardiovascular system,1,0,402,rostral auricular vein
saphenous artery,saphenous artery,,,,,,,,,,,,,,cardiovascular system,1,0,403,saphenous artery
saphenous vein,saphenous vein,,,,,,,,,,,,,,cardiovascular system,1,0,404,saphenous vein
septal coronary artery,septal coronary artery,,,,,,,,,,,,,,cardiovascular system,1,0,405,septal coronary artery
serum,serum,,,,,,,,,,,,,,cardiovascular system,1,0,406,serum
caudate nucleus,caudate nucleus,Brain.caudate.nucleus,,,,,,,,,,,,Caudatenucleus,nervous system,2,114,1771,brain
small saphenous vein,small saphenous vein,,,,,,,,,,,,,,cardiovascular system,1,0,408,small saphenous vein
spermatic artery,spermatic artery,,,,,,,,,,,,,,cardiovascular system,1,0,409,spermatic artery
spermatic vein,spermatic vein,,,,,,,,,,,,,,cardiovascular system,1,0,410,spermatic vein
spinal artery,spinal artery,,,,,,,,,,,,,,cardiovascular system,1,0,411,spinal artery
stapedial artery,stapedial artery,,,,,,,,,,,,,,cardiovascular system,1,0,412,stapedial artery
subclavian artery,subclavian artery,,,,,,,,,,,,,,cardiovascular system,1,0,413,subclavian artery
subclavian vein,subclavian vein,,,,,,,,,,,,,,cardiovascular system,1,0,414,subclavian vein
subcostal artery,subcostal artery,,,,,,,,,,,,,,cardiovascular system,1,0,415,subcostal artery
subcostal vein,subcostal vein,,,,,,,,,,,,,,cardiovascular system,1,0,416,subcostal vein
sublingual artery,sublingual artery,,,,,,,,,,,,,,cardiovascular system,1,0,417,sublingual artery
submental vein,submental vein,,,,,,,,,,,,,,cardiovascular system,1,0,418,submental vein
subscapular artery,subscapular artery,,,,,,,,,,,,,,cardiovascular system,1,0,419,subscapular artery
subscapular vein,subscapular vein,,,,,,,,,,,,,,cardiovascular system,1,0,420,subscapular vein
superficial antebrachial artery,superficial antebrachial artery,,,,,,,,,,,,,,cardiovascular system,1,0,421,superficial antebrachial artery
superficial cervical artery,superficial cervical artery,,,,,,,,,,,,,,cardiovascular system,1,0,422,superficial cervical artery
superficial cervical vein,superficial cervical vein,,,,,,,,,,,,,,cardiovascular system,1,0,423,superficial cervical vein
superficial palmal arch,superficial palmal arch,,,,,,,,,,,,,,cardiovascular system,1,0,424,superficial palmal arch
superficial radial artery,superficial radial artery,,,,,,,,,,,,,,cardiovascular system,1,0,425,superficial radial artery
superficial sural artery,superficial sural artery,,,,,,,,,,,,,,cardiovascular system,1,0,426,superficial sural artery
superficial temporal artery,superficial temporal artery,,,,,,,,,,,,,,cardiovascular system,1,0,427,superficial temporal artery
superficial temporal vein,superficial temporal vein,,,,,,,,,,,,,,cardiovascular system,1,0,428,superficial temporal vein
