Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
pelvic girdle bone,pelvic girdle bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1518,pelvic girdle bone
pelvic girdle muscle,pelvic girdle muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1519,pelvic girdle muscle
pelvis bone,pelvis bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1520,pelvis bone
pelvis muscle,pelvis muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1521,pelvis muscle
perineal muscle,perineal muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1522,perineal muscle
peroneus longus,peroneus longus,,,,,,,,,,,,,,musculoskeletal system,1,0,1523,peroneus longus
phalanx,phalanx,,,,,,,,,,,,,,musculoskeletal system,1,0,1524,phalanx
pisiform,pisiform,,,,,,,,,,,,,,musculoskeletal system,1,0,1525,pisiform
plantar foot interosseus muscle,plantar foot interosseus muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1526,plantar foot interosseus muscle
popliteus,popliteus,,,,,,,,,,,,,,musculoskeletal system,1,0,1527,popliteus
postcranial synchondrosis,postcranial synchondrosis,,,,,,,,,,,,,,musculoskeletal system,1,0,1528,postcranial synchondrosis
posterior semicircular canal,posterior semicircular canal,,,,,,,,,,,,,,musculoskeletal system,1,0,1529,posterior semicircular canal
presphenoid bone,presphenoid bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1530,presphenoid bone
pronator teres,pronator teres,,,,,,,,,,,,,,musculoskeletal system,1,0,1531,pronator teres
proximal carpal bone,proximal carpal bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1532,proximal carpal bone
proximal phalanx of foot,proximal phalanx of foot,,,,,,,,,,,,,,musculoskeletal system,1,0,1533,proximal phalanx of foot
proximal phalanx of hand,proximal phalanx of hand,,,,,,,,,,,,,,musculoskeletal system,1,0,1534,proximal phalanx of hand
proximal rib,proximal rib,,,,,,,,,,,,,,musculoskeletal system,1,0,1535,proximal rib
proximal sesamoid bone of foot,proximal sesamoid bone of foot,,,,,,,,,,,,,,musculoskeletal system,1,0,1536,proximal sesamoid bone of foot
proximal sesamoid bone of hand,proximal sesamoid bone of hand,,,,,,,,,,,,,,musculoskeletal system,1,0,1537,proximal sesamoid bone of hand
psoas major,psoas major,,,,,,,,,,,,,,musculoskeletal system,1,0,1538,psoas major
psoas minor,psoas minor,,,,,,,,,,,,,,musculoskeletal system,1,0,1539,psoas minor
psoas muscle,psoas muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1540,psoas muscle
pterygoid bone,pterygoid bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1541,pterygoid bone
pterygoid lateralis,pterygoid lateralis,,,,,,,,,,,,,,musculoskeletal system,1,0,1542,pterygoid lateralis
pterygoid medialis,pterygoid medialis,,,,,,,,,,,,,,musculoskeletal system,1,0,1543,pterygoid medialis
pterygoid process of sphenoid bone,pterygoid process of sphenoid bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1544,pterygoid process of sphenoid bone
pubis,pubis,,,,,,,,,,,,,,musculoskeletal system,1,0,1545,pubis
quadratus lumborum,quadratus lumborum,,,,,,,,,,,,,,musculoskeletal system,1,0,1546,quadratus lumborum
lung peripheral,lung peripheral,Lung.peripheral,,,,,,,,,,,,,respiratory system,2,148,2600,lung
radio-carpal joint,radio-carpal joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1548,radio-carpal joint
radio-ulnar joint,radio-ulnar joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1549,radio-ulnar joint
radius,radius,,,,,,,,,,,,,,musculoskeletal system,1,0,1550,radius
rectus abdominis,rectus abdominis,,,,,,,,,,,,,,musculoskeletal system,1,0,1551,rectus abdominis
rectus femoris,rectus femoris,,,,,,,,,,,,,,musculoskeletal system,1,0,1552,rectus femoris
rectus thoracis,rectus thoracis,,,,,,,,,,,,,,musculoskeletal system,1,0,1553,rectus thoracis
rhomboid,rhomboid,,,,,,,,,,,,,,musculoskeletal system,1,0,1554,rhomboid
right lung lobe,right lung lobe,Lung.right.lobe,,,,,,,,,,,,,respiratory system,2,146,2697,lung
rib 1,rib 1,,,,,,,,,,,,,,musculoskeletal system,1,0,1556,rib 1
rib 10,rib 10,,,,,,,,,,,,,,musculoskeletal system,1,0,1557,rib 10
rib 11,rib 11,,,,,,,,,,,,,,musculoskeletal system,1,0,1558,rib 11
rib 12,rib 12,,,,,,,,,,,,,,musculoskeletal system,1,0,1559,rib 12
rib 13,rib 13,,,,,,,,,,,,,,musculoskeletal system,1,0,1560,rib 13
rib 2,rib 2,,,,,,,,,,,,,,musculoskeletal system,1,0,1561,rib 2
rib 3,rib 3,,,,,,,,,,,,,,musculoskeletal system,1,0,1562,rib 3
rib 4,rib 4,,,,,,,,,,,,,,musculoskeletal system,1,0,1563,rib 4
rib 5,rib 5,,,,,,,,,,,,,,musculoskeletal system,1,0,1564,rib 5
rib 6,rib 6,,,,,,,,,,,,,,musculoskeletal system,1,0,1565,rib 6
rib 7,rib 7,,,,,,,,,,,,,,musculoskeletal system,1,0,1566,rib 7
rib 8,rib 8,,,,,,,,,,,,,,musculoskeletal system,1,0,1567,rib 8
rib 9,rib 9,,,,,,,,,,,,,,musculoskeletal system,1,0,1568,rib 9
rib dorsal segment,rib dorsal segment,,,,,,,,,,,,,,musculoskeletal system,1,0,1569,rib dorsal segment
rib head,rib head,,,,,,,,,,,,,,musculoskeletal system,1,0,1570,rib head
rib shaft,rib shaft,,,,,,,,,,,,,,musculoskeletal system,1,0,1571,rib shaft
rib tubercle,rib tubercle,,,,,,,,,,,,,,musculoskeletal system,1,0,1572,rib tubercle
rib ventral segment,rib ventral segment,,,,,,,,,,,,,,musculoskeletal system,1,0,1573,rib ventral segment
sacral vertebra,sacral vertebra,,,,,,,,,,,,,,musculoskeletal system,1,0,1574,sacral vertebra
sacral vertebra 1,sacral vertebra 1,,,,,,,,,,,,,,musculoskeletal system,1,0,1575,sacral vertebra 1
sacral vertebra 2,sacral vertebra 2,,,,,,,,,,,,,,musculoskeletal system,1,0,1576,sacral vertebra 2
sacral vertebra 3,sacral vertebra 3,,,,,,,,,,,,,,musculoskeletal system,1,0,1577,sacral vertebra 3
sacral vertebra 4,sacral vertebra 4,,,,,,,,,,,,,,musculoskeletal system,1,0,1578,sacral vertebra 4
sacroiliac joint,sacroiliac joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1579,sacroiliac joint
lymph node,lymph node,Lymph.nodes,,,,,lymph.node,,,lymphnode,LymphNode,lymphnode,lymphnode,Lymphnode,immune system,1,199,1005,lymph node
scalenus dorsalis,scalenus dorsalis,,,,,,,,,,,,,,musculoskeletal system,1,0,1581,scalenus dorsalis
scalenus medius,scalenus medius,,,,,,,,,,,,,,musculoskeletal system,1,0,1582,scalenus medius
scaphoid,scaphoid,,,,,,,,,,,,,,musculoskeletal system,1,0,1583,scaphoid
scapholunate,scapholunate,,,,,,,,,,,,,,musculoskeletal system,1,0,1584,scapholunate
scapula,scapula,,,,,,,,,,,,,,musculoskeletal system,1,0,1585,scapula
semimembranosus,semimembranosus,,,,,,,,,,,,,,musculoskeletal system,1,0,1586,semimembranosus
semispinalis capitis,semispinalis capitis,,,,,,,,,,,,,,musculoskeletal system,1,0,1587,semispinalis capitis
semispinalis cervicis,semispinalis cervicis,,,,,,,,,,,,,,musculoskeletal system,1,0,1588,semispinalis cervicis
semispinalis thoracis,semispinalis thoracis,,,,,,,,,,,,,,musculoskeletal system,1,0,1589,semispinalis thoracis
pancreatic islet,pancreatic islet,,,,,,,,,,,,,PancreaticIslet,endocrine system,1,0,793,pancreas
serratus dorsalis caudalis,serratus dorsalis caudalis,,,,,,,,,,,,,,musculoskeletal system,1,0,1591,serratus dorsalis caudalis
serratus dorsalis cranialis,serratus dorsalis cranialis,,,,,,,,,,,,,,musculoskeletal system,1,0,1592,serratus dorsalis cranialis
serratus ventralis,serratus ventralis,,,,,,,,,,,,,,musculoskeletal system,1,0,1593,serratus ventralis
sesamoid bone,sesamoid bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1594,sesamoid bone
sesamoid bone of gastrocnemius,sesamoid bone of gastrocnemius,,,,,,,,,,,,,,musculoskeletal system,1,0,1595,sesamoid bone of gastrocnemius
shoulder bone,shoulder bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1596,shoulder bone
shoulder joint,shoulder joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1597,shoulder joint
shoulder muscle,shoulder muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1598,shoulder muscle
ampullary gland,ampullary gland,,,,,,,,,,,,,,reproductive system,1,0,2391,ampullary gland
skeletal muscle tissue,skeletal muscle tissue,,,,,,,,,,,,,,musculoskeletal system,1,0,1600,skeletal muscle tissue
skeletal system,skeletal system,,,,,,,,,,,,,,musculoskeletal system,1,0,1601,skeletal system
parathyroid gland,parathyroid gland,,,,,Parotid_gland,parathyroid.gland,,,,,,,,endocrine system,1,196,905,parathyroid gland
smooth muscle tissue,smooth muscle tissue,,,,,,,,,,,,,,musculoskeletal system,1,0,1603,smooth muscle tissue
parietal cortex,parietal cortex,,,,,,,,,,,,,ParietalLobe,nervous system,2,102,2043,brain
sphenoid bone,sphenoid bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1605,sphenoid bone
sphincter colli superficialis,sphincter colli superficialis,,,,,,,,,,,,,,musculoskeletal system,1,0,1606,sphincter colli superficialis
spinalis thoracis,spinalis thoracis,,,,,,,,,,,,,,musculoskeletal system,1,0,1607,spinalis thoracis
splenius,splenius,,,,,,,,,,,,,,musculoskeletal system,1,0,1608,splenius
squamosal bone,squamosal bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1609,squamosal bone
sternal manubrium,sternal manubrium,,,,,,,,,,,,,,musculoskeletal system,1,0,1610,sternal manubrium
sternebra,sternebra,,,,,,,,,,,,,,musculoskeletal system,1,0,1611,sternebra
sternoclavicular joint,sternoclavicular joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1612,sternoclavicular joint
sternocostal joint,sternocostal joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1613,sternocostal joint
sternohyoid,sternohyoid,,,,,,,,,,,,,,musculoskeletal system,1,0,1614,sternohyoid
sternomastoid,sternomastoid,,,,,,,,,,,,,,musculoskeletal system,1,0,1615,sternomastoid
sternooccipital,sternooccipital,,,,,,,,,,,,,,musculoskeletal system,1,0,1616,sternooccipital
sternothyroid,sternothyroid,,,,,,,,,,,,,,musculoskeletal system,1,0,1617,sternothyroid
lymph node bronchial,lymph node bronchial,Lymph.nodes.bronchial,,,,,,,,,,,,,immune system,2,200,1007,lymph node
striated muscle tissue,striated muscle tissue,,,,,,,,,,,,,,musculoskeletal system,1,0,1619,striated muscle tissue
styloglossus,styloglossus,,,,,,,,,,,,,,musculoskeletal system,1,0,1620,styloglossus
subscapularis,subscapularis,,,,,,,,,,,,,,musculoskeletal system,1,0,1621,subscapularis
supraoccipital bone,supraoccipital bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1622,supraoccipital bone
supraspinatus,supraspinatus,,,,,,,,,,,,,,musculoskeletal system,1,0,1623,supraspinatus
suture,suture,,,,,,,,,,,,,,musculoskeletal system,1,0,1624,suture
symphysis,symphysis,,,,,,,,,,,,,,musculoskeletal system,1,0,1625,symphysis
symphysis menti,symphysis menti,,,,,,,,,,,,,,musculoskeletal system,1,0,1626,symphysis menti
synchondrosis,synchondrosis,,,,,,,,,,,,,,musculoskeletal system,1,0,1627,synchondrosis
syndesmosis,syndesmosis,,,,,,,,,,,,,,musculoskeletal system,1,0,1628,syndesmosis
synovial joint,synovial joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1629,synovial joint
synovium,synovium,Bone.synovium,,,,,,,,,,,,,musculoskeletal system,1,73,1630,synovium
tail bone,tail bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1631,tail bone
tail muscle,tail muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1632,tail muscle
talus,talus,,,,,,,,,,,,,,musculoskeletal system,1,0,1633,talus
tarsal bone,tarsal bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1634,tarsal bone
temporal bone,temporal bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1635,temporal bone
temporal bone petrous part,temporal bone petrous part,,,,,,,,,,,,,,musculoskeletal system,1,0,1636,temporal bone petrous part
temporalis,temporalis,,,,,,,,,,,,,,musculoskeletal system,1,0,1637,temporalis
tensor fasciae lata,tensor fasciae lata,,,,,,,,,,,,,,musculoskeletal system,1,0,1638,tensor fasciae lata
teres major,teres major,,,,,,,,,,,,,,musculoskeletal system,1,0,1639,teres major
thoracic vertebra,thoracic vertebra,,,,,,,,,,,,,,musculoskeletal system,1,0,1640,thoracic vertebra
thoracic vertebra 1,thoracic vertebra 1,,,,,,,,,,,,,,musculoskeletal system,1,0,1641,thoracic vertebra 1
thoracic vertebra 10,thoracic vertebra 10,,,,,,,,,,,,,,musculoskeletal system,1,0,1642,thoracic vertebra 10
thoracic vertebra 11,thoracic vertebra 11,,,,,,,,,,,,,,musculoskeletal system,1,0,1643,thoracic vertebra 11
thoracic vertebra 12,thoracic vertebra 12,,,,,,,,,,,,,,musculoskeletal system,1,0,1644,thoracic vertebra 12
thoracic vertebra 13,thoracic vertebra 13,,,,,,,,,,,,,,musculoskeletal system,1,0,1645,thoracic vertebra 13
thoracic vertebra 2,thoracic vertebra 2,,,,,,,,,,,,,,musculoskeletal system,1,0,1646,thoracic vertebra 2
thoracic vertebra 3,thoracic vertebra 3,,,,,,,,,,,,,,musculoskeletal system,1,0,1647,thoracic vertebra 3
thoracic vertebra 4,thoracic vertebra 4,,,,,,,,,,,,,,musculoskeletal system,1,0,1648,thoracic vertebra 4
thoracic vertebra 5,thoracic vertebra 5,,,,,,,,,,,,,,musculoskeletal system,1,0,1649,thoracic vertebra 5
thoracic vertebra 6,thoracic vertebra 6,,,,,,,,,,,,,,musculoskeletal system,1,0,1650,thoracic vertebra 6
thoracic vertebra 7,thoracic vertebra 7,,,,,,,,,,,,,,musculoskeletal system,1,0,1651,thoracic vertebra 7
thoracic vertebra 8,thoracic vertebra 8,,,,,,,,,,,,,,musculoskeletal system,1,0,1652,thoracic vertebra 8
thoracic vertebra 9,thoracic vertebra 9,,,,,,,,,,,,,,musculoskeletal system,1,0,1653,thoracic vertebra 9
thorax bone,thorax bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1654,thorax bone
thorax muscle,thorax muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1655,thorax muscle
thyrohyoid,thyrohyoid,,,,,,,,,,,,,,musculoskeletal system,1,0,1656,thyrohyoid
thyroid cartilage,thyroid cartilage,,,,,,,,,,,,,,musculoskeletal system,1,0,1657,thyroid cartilage
tibia,tibia,,,,,,,,,,,,,,musculoskeletal system,1,0,1658,tibia
tibia dyaphysis,tibia dyaphysis,,,,,,,,,,,,,,musculoskeletal system,1,0,1659,tibia dyaphysis
tibialis caudalis,tibialis caudalis,,,,,,,,,,,,,,musculoskeletal system,1,0,1660,tibialis caudalis
pigmented retinal epithelium,pigmented retinal epithelium,,,,,,,,,,,,retinal_pigment_epithelium,,sensory organ system,2,135,2913,eye
tibilais cranialis,tibilais cranialis,,,,,,,,,,,,,,musculoskeletal system,1,0,1662,tibilais cranialis
trachea cartilage,trachea cartilage,,,,,,,,,,,,,,musculoskeletal system,1,0,1663,trachea cartilage
transversus abdominis,transversus abdominis,,,,,,,,,,,,,,musculoskeletal system,1,0,1664,transversus abdominis
transversus thoracis,transversus thoracis,,,,,,,,,,,,,,musculoskeletal system,1,0,1665,transversus thoracis
trapezium,trapezium,,,,,,,,,,,,,,musculoskeletal system,1,0,1666,trapezium
trapezius,trapezius,,,,,,,,,,,,,,musculoskeletal system,1,0,1667,trapezius
trapezoid,trapezoid,,,,,,,,,,,,,,musculoskeletal system,1,0,1668,trapezoid
triceps brachii,triceps brachii,,,,,,,,,,,,,,musculoskeletal system,1,0,1669,triceps brachii
triceps surae,triceps surae,,,,,,,,,,,,,,musculoskeletal system,1,0,1670,triceps surae
triquetral,triquetral,,,,,,,,,,,,,,musculoskeletal system,1,0,1671,triquetral
true rib,true rib,,,,,,,,,,,,,,musculoskeletal system,1,0,1672,true rib
trunk bone,trunk bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1673,trunk bone
trunk muscle,trunk muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1674,trunk muscle
ulna,ulna,,,,,,,,,,,,,,musculoskeletal system,1,0,1675,ulna
ulnar sesamoid bone,ulnar sesamoid bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1676,ulnar sesamoid bone
upper arm bone,upper arm bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1677,upper arm bone
upper arm muscle,upper arm muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1678,upper arm muscle
upper back bone,upper back bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1679,upper back bone
upper back muscle,upper back muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1680,upper back muscle
upper jaw,upper jaw,,,,,,,,,,,,,,musculoskeletal system,1,0,1681,upper jaw
upper jaw incisor,upper jaw incisor,,,,,,,,,,,,,,musculoskeletal system,1,0,1682,upper jaw incisor
upper jaw molar,upper jaw molar,,,,,,,,,,,,,,musculoskeletal system,1,0,1683,upper jaw molar
upper jaw tooth,upper jaw tooth,,,,,,,,,,,,,,musculoskeletal system,1,0,1684,upper jaw tooth
upper leg bone,upper leg bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1685,upper leg bone
upper leg muscle,upper leg muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1686,upper leg muscle
urethralis,urethralis,,,,,,,,,,,,,,musculoskeletal system,1,0,1687,urethralis
urogenital muscle,urogenital muscle,,,,,,,,,,,,,,musculoskeletal system,1,0,1688,urogenital muscle
vastus lateralis,vastus lateralis,,,,,,,,,,,,,,musculoskeletal system,1,0,1689,vastus lateralis
vastus medialis,vastus medialis,,,,,,,,,,,,,,musculoskeletal system,1,0,1690,vastus medialis
vertebra,vertebra,,,,,,,,,,,,,,musculoskeletal system,1,0,1692,vertebra
vertebra caudal articular process,vertebra caudal articular process,,,,,,,,,,,,,,musculoskeletal system,1,0,1693,vertebra caudal articular process
vertebra cranial articular process,vertebra cranial articular process,,,,,,,,,,,,,,musculoskeletal system,1,0,1694,vertebra cranial articular process
vertebra dorsal arch,vertebra dorsal arch,,,,,,,,,,,,,,musculoskeletal system,1,0,1695,vertebra dorsal arch
vertebra neural canal,vertebra neural canal,,,,,,,,,,,,,,musculoskeletal system,1,0,1696,vertebra neural canal
vertebra spinous process,vertebra spinous process,,,,,,,,,,,,,,musculoskeletal system,1,0,1697,vertebra spinous process
vertebra transverse process,vertebra transverse process,,,,,,,,,,,,,,musculoskeletal system,1,0,1698,vertebra transverse process
vertebral body,vertebral body,,,,,,,,,,,,,,musculoskeletal system,1,0,1699,vertebral body
vertebral column,vertebral column,,,,,,,,,,,,,,musculoskeletal system,1,0,1700,vertebral column
vertebral pedicle,vertebral pedicle,,,,,,,,,,,,,,musculoskeletal system,1,0,1701,vertebral pedicle
vestibular aqueduct,vestibular aqueduct,,,,,,,,,,,,,,musculoskeletal system,1,0,1702,vestibular aqueduct
viscerocranium,viscerocranium,,,,,,,,,,,,,,musculoskeletal system,1,0,1703,viscerocranium
viscerocranium bone,viscerocranium bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1704,viscerocranium bone
vomer bone,vomer bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1705,vomer bone
white fibrocartilage,white fibrocartilage,,,,,,,,,,,,,,musculoskeletal system,1,0,1706,white fibrocartilage
wrist joint,wrist joint,,,,,,,,,,,,,,musculoskeletal system,1,0,1707,wrist joint
xiphisternum,xiphisternum,,,,,,,,,,,,,,musculoskeletal system,1,0,1708,xiphisternum
xiphoid cartilage,xiphoid cartilage,,,,,,,,,,,,,,musculoskeletal system,1,0,1709,xiphoid cartilage
yellow elastic cartilage,yellow elastic cartilage,,,,,,,,,,,,,,musculoskeletal system,1,0,1710,yellow elastic cartilage
zygomatic bone,zygomatic bone,,,,,,,,,,,,,,musculoskeletal system,1,0,1711,zygomatic bone
zygomaticus,zygomaticus,,,,,,,,,,,,,,musculoskeletal system,1,0,1712,zygomaticus
abdomen nerve,abdomen nerve,,,,,,,,,,,,,,nervous system,1,0,1713,abdomen nerve
abdomen/pelvis/perineum nerve,abdomen/pelvis/perineum nerve,,,,,,,,,,,,,,nervous system,1,0,1714,abdomen/pelvis/perineum nerve
abducens VI nerve,abducens VI nerve,,,,,,,,,,,,,,nervous system,1,0,1715,abducens VI nerve
abducens VI nucleus,abducens VI nucleus,,,,,,,,,,,,,,nervous system,1,0,1716,abducens VI nucleus
accessory XI nerve,accessory XI nerve,,,,,,,,,,,,,,nervous system,1,0,1717,accessory XI nerve
accessory XI nerve cranial component,accessory XI nerve cranial component,,,,,,,,,,,,,,nervous system,1,0,1718,accessory XI nerve cranial component
accessory XI nerve spinal component,accessory XI nerve spinal component,,,,,,,,,,,,,,nervous system,1,0,1719,accessory XI nerve spinal component
accessory XI nucleus,accessory XI nucleus,,,,,,,,,,,,,,nervous system,1,0,1720,accessory XI nucleus
accessory olfactory bulb,accessory olfactory bulb,,,,,,,,,,,,,,nervous system,1,0,1721,accessory olfactory bulb
accessory olfactory bulb glomerular layer,accessory olfactory bulb glomerular layer,,,,,,,,,,,,,,nervous system,1,0,1722,accessory olfactory bulb glomerular layer
accessory olfactory bulb mitral cell layer,accessory olfactory bulb mitral cell layer,,,,,,,,,,,,,,nervous system,1,0,1723,accessory olfactory bulb mitral cell layer
lymph node mandibular,lymph node mandibular,Lymph.nodes.mandibular,,,,,,,,,,,,,immune system,2,201,1015,lymph node
lymph node mesenteric,lymph node mesenteric,Lymph.nodes.mesenteric,,,,"Lymph_nodes,_mesenteric",,,,,,,,,immune system,2,202,1018,lymph node
ankle nerve,ankle nerve,,,,,,,,,,,,,,nervous system,1,0,1727,ankle nerve
anterior commissure,anterior commissure,,,,,,,,,,,,,,nervous system,1,0,1728,anterior commissure
anterior division,anterior division,,,,,,,,,,,,,,nervous system,1,0,1729,anterior division
anterior medial cortex,anterior medial cortex,,,,,,,,,,,,,,nervous system,1,0,1730,anterior medial cortex
anterior olfactory nucleus,anterior olfactory nucleus,,,,,,,,,,,,,,nervous system,1,0,1731,anterior olfactory nucleus
anterior tegmental nucleus,anterior tegmental nucleus,,,,,,,,,,,,,,nervous system,1,0,1732,anterior tegmental nucleus
anterior thalamic group,anterior thalamic group,,,,,,,,,,,,,,nervous system,1,0,1733,anterior thalamic group
arachnoid mater,arachnoid mater,,,,,,,,,,,,,,nervous system,1,121,1734,arachnoid mater
arcuate nucleus,arcuate nucleus,,,,,,,,,,,,,,nervous system,2,116,1735,brain
area postrema,area postrema,,,,,,,,,,,,,,nervous system,1,0,1736,area postrema
arm nerve,arm nerve,,,,,,,,,,,,,,nervous system,1,0,1737,arm nerve
auditory cortex,auditory cortex,,,,,,,,,,,,,,nervous system,1,0,1738,auditory cortex
autonomic ganglion,autonomic ganglion,,,,,,,,,,,,,,nervous system,1,0,1739,autonomic ganglion
autonomic nerve plexus,autonomic nerve plexus,,,,,,,,,,,,,,nervous system,1,0,1740,autonomic nerve plexus
autonomic nervous system,autonomic nervous system,,,,,,,,,,,,,,nervous system,1,0,1741,autonomic nervous system
axillary nerve,axillary nerve,,,,,,,,,,,,,,nervous system,1,0,1742,axillary nerve
axillary nerve trunk,axillary nerve trunk,,,,,,,,,,,,,,nervous system,1,0,1743,axillary nerve trunk
back nerve,back nerve,,,,,,,,,,,,,,nervous system,1,0,1744,back nerve
barrel cortex,barrel cortex,,,,,,,,,,,,,,nervous system,1,0,1745,barrel cortex
barrington's nucleus,barrington's nucleus,,,,,,,,,,,,,,nervous system,1,0,1746,barrington's nucleus
basal ganglia,basal ganglia,,,,,,,,,,,,,,nervous system,1,0,1747,basal ganglia
bed nucleus of stria terminalis,bed nucleus of stria terminalis,,,,,,,,,,,,,,nervous system,1,0,1748,bed nucleus of stria terminalis
brachial plexus,brachial plexus,,,,,,,,,,,,,,nervous system,2,128,1749,nerve
anterior buccal gland,anterior buccal gland,,,,,,,,,,,,,,respiratory system,1,0,2512,anterior buccal gland
anterior limiting lamina,anterior limiting lamina,,,,,,,,,,,,,,sensory organ system,1,0,2751,anterior limiting lamina
anterior lingual gland,anterior lingual gland,,,,,,,,,,,,,,respiratory system,1,0,2513,anterior lingual gland
anterior semicircular canal,anterior semicircular canal,,,,,,,,,,,,,,sensory organ system,1,0,2752,anterior semicircular canal
anterior semicircular duct,anterior semicircular duct,,,,,,,,,,,,,,sensory organ system,1,0,2753,anterior semicircular duct
apex of arytenoid,apex of arytenoid,,,,,,,,,,,,,,respiratory system,1,0,2514,apex of arytenoid
aqueous humour,aqueous humour,,,,,,,,,,,,,,sensory organ system,1,0,2754,aqueous humour
arcuate artery,arcuate artery,,,,,,,,,,,,,,renal/urinary system,1,0,2228,arcuate artery
arcuate vein,arcuate vein,,,,,,,,,,,,,,renal/urinary system,1,0,2229,arcuate vein
area cribosa,area cribosa,,,,,,,,,,,,,,renal/urinary system,1,0,2230,area cribosa
arytenoid cartilage,arytenoid cartilage,,,,,,,,,,,,,,respiratory system,1,0,2515,arytenoid cartilage
auditory bone,auditory bone,,,,,,,,,,,,,,sensory organ system,1,0,2755,auditory bone
auditory system,auditory system,,,,,,,,,,,,,,sensory organ system,1,0,2756,auditory system
auditory tube,auditory tube,,,,,,,,,,,,,,sensory organ system,1,0,2757,auditory tube
auricle,auricle,,,,,,,,,,,,,,sensory organ system,1,0,2758,auricle
auricular blood vessel,auricular blood vessel,,,,,,,,,,,,,,sensory organ system,1,0,2759,auricular blood vessel
auricular cartilage,auricular cartilage,,,,,,,,,,,,,,sensory organ system,1,0,2760,auricular cartilage
auricular ligament,auricular ligament,,,,,,,,,,,,,,sensory organ system,1,0,2761,auricular ligament
auricular muscle,auricular muscle,,,,,,,,,,,,,,sensory organ system,1,0,2762,auricular muscle
auricular nerve,auricular nerve,,,,,,,,,,,,,,sensory organ system,1,0,2763,auricular nerve
base of arytenoid,base of arytenoid,,,,,,,,,,,,,,respiratory system,1,0,2516,base of arytenoid
basilar membrane,basilar membrane,,,,,,,,,,,,,,sensory organ system,1,0,2764,basilar membrane
popliteal lymph node,popliteal lymph node,Lymph.nodes.popliteal,,,,,,,,,,,,,immune system,2,203,1051,lymph node
bony labyrinth,bony labyrinth,,,,,,,,,,,,,,sensory organ system,1,0,2765,bony labyrinth
mesentery,mesentery,Mesentery,,,,,,,,,,,,,digestive system,1,170,768,mesentery
brain arachnoid matter,brain arachnoid matter,,,,,,,,,,,,,,nervous system,1,0,1751,brain arachnoid matter
brain blood vessel,brain blood vessel,,,,,,,,,,,,,,nervous system,1,0,1752,brain blood vessel
muscle,muscle,Muscle,,,,,,,,,,,,,musculoskeletal system,1,0,1481,muscle
brain dura mater,brain dura mater,,,,,,,,,,,,,,nervous system,1,0,1754,brain dura mater
brain ependyma,brain ependyma,,,,,,,,,,,,,,nervous system,1,0,1755,brain ependyma
brain grey matter,brain grey matter,,,,,,,,,,,,,,nervous system,1,0,1756,brain grey matter
placenta,placenta,Placenta,,,,,placenta,,,,,placenta,placenta,Placenta,reproductive system,2,183,2458,uterus
